segment,type,season,cvr,roas,indexVsAccount,periodType,period,clicks,conversions,convValue,cost
AGE_RANGE_UNDETERMINED,AGE_RANGE,hot,0.0121,6.15,1.1924,season,hot,16604,200.767784,454044.99,73846.35
AGE_RANGE_UNDETERMINED,AGE_RANGE,non_hot,0.0018,3.11,0.5208,season,non_hot,38951,71.886112,164147.55,52734.44
2124,COUNTRY,,0.0061,5.06,0.969,all,all,61934,375.984468,843195.72,166752.47
2124,COUNTRY,,0.0014,3.5,0.6359,quarter,Q1,27845,39.203371000000004,89564.49,25625.14
2124,COUNTRY,,0.0137,6.63,1.2148,quarter,Q2,10522,144.33824,325201.77,49053.21
2124,COUNTRY,,0.0095,4.86,1.2453,quarter,Q3,16322,154.63489,342379.1,70401.3
2124,COUNTRY,,0.0052,3.97,0.8787,quarter,Q4,7245,37.807967,86050.36,21672.81
2124,COUNTRY,hot,0.0123,6.06,1.2102,season,hot,21729,266.653344,596752.65,98466.01
2124,COUNTRY,non_hot,0.0027,3.61,0.7674,season,non_hot,40205,109.331124,246443.07,68286.46
2840,COUNTRY,,0.0061,3.83,0.9748,all,all,223373,1364.10346,3111366.25,811646.63
2840,COUNTRY,,0.003,3.06,1.361,quarter,Q1,63907,192.581839,461645.96,150869.12
2840,COUNTRY,,0.0103,4.54,0.9158,quarter,Q2,47615,492.395581,1132383.6,249339.58
2840,COUNTRY,,0.006,3.71,0.7839,quarter,Q3,78087,465.708374,1072881.35,288799.97
2840,COUNTRY,,0.0063,3.62,1.0643,quarter,Q4,33764,213.417666,444455.34,122637.96
2840,COUNTRY,hot,0.0087,4.41,0.8577,season,hot,98439,856.220013,1977511.91,448670.31
2840,COUNTRY,non_hot,0.0041,3.12,1.1472,season,non_hot,124934,507.883447,1133854.34,362976.32
CONNECTED_TV,DEVICE,,0.0269,2.74,4.2866,all,all,133,3.5715630000000003,7049.6,2573.93
CONNECTED_TV,DEVICE,,0.0,0.0,0.0,quarter,Q1,1,0.0,0.0,9.86
CONNECTED_TV,DEVICE,,0.0308,5.04,2.7266,quarter,Q2,116,3.5715630000000003,7049.6,1399.22
CONNECTED_TV,DEVICE,,0.0,0.0,0.0,quarter,Q3,15,0.0,0.0,1157.19
CONNECTED_TV,DEVICE,,0.0,0.0,0.0,quarter,Q4,1,0.0,0.0,7.67
CONNECTED_TV,DEVICE,hot,0.0273,2.76,2.6886,season,hot,131,3.5715630000000003,7049.6,2551.16
CONNECTED_TV,DEVICE,non_hot,0.0,0.0,0.0,season,non_hot,2,0.0,0.0,22.77
DESKTOP,DEVICE,,0.0154,4.09,2.4565,all,all,37341,574.640802,1282122.69,313724.02
DESKTOP,DEVICE,,0.0105,3.34,4.7483,quarter,Q1,7761,81.594543,193878.43,58074.69
DESKTOP,DEVICE,,0.0194,4.67,1.7205,quarter,Q2,10727,208.412733,459400.76,98369.3
DESKTOP,DEVICE,,0.0162,4.11,2.1331,quarter,Q3,11540,187.278748,421491.63,102618.9
DESKTOP,DEVICE,,0.0133,3.79,2.2415,quarter,Q4,7313,97.354778,207351.87,54661.13
DESKTOP,DEVICE,hot,0.0182,4.49,1.7941,season,hot,19025,346.11805,772202.11,172046.13
DESKTOP,DEVICE,non_hot,0.0125,3.6,3.5209,season,non_hot,18316,228.522752,509920.59,141677.89
MOBILE,DEVICE,,0.0048,4.09,0.7583,all,all,236637,1124.206882,2582503.08,631607.54
MOBILE,DEVICE,,0.0017,3.04,0.7867,quarter,Q1,82204,143.190667,342486.01,112758.57
MOBILE,DEVICE,,0.0093,5.11,0.8224,quarter,Q2,44659,414.732818,968792.72,189622.45
MOBILE,DEVICE,,0.0054,3.93,0.7091,quarter,Q3,77475,417.970351,959928.35,244075.16
MOBILE,DEVICE,,0.0046,3.66,0.7732,quarter,Q4,32299,148.313046,311296.01,85151.36
MOBILE,DEVICE,hot,0.0079,4.9,0.7772,season,hot,95137,749.775493,1743194.74,355704.56
MOBILE,DEVICE,non_hot,0.0026,3.04,0.7467,season,non_hot,141500,374.431389,839308.35,275902.97
OTHER,DEVICE,,0.0,0.0,0.0,all,all,2,0.0,0.0,0.35
OTHER,DEVICE,,0.0,0.0,0.0,quarter,Q2,1,0.0,0.0,0.22
OTHER,DEVICE,,0.0,0.0,0.0,quarter,Q3,1,0.0,0.0,0.13
OTHER,DEVICE,hot,0.0,0.0,0.0,season,hot,1,0.0,0.0,0.27
OTHER,DEVICE,non_hot,0.0,0.0,0.0,season,non_hot,1,0.0,0.0,0.08
TABLET,DEVICE,,0.0038,3.08,0.6085,all,all,11194,42.668681,94007.44,30493.26
TABLET,DEVICE,,0.0045,3.08,2.023,quarter,Q1,1786,8.0,17407.21,5651.14
TABLET,DEVICE,,0.0046,2.85,0.404,quarter,Q2,2634,12.016707,25640.68,9001.6
TABLET,DEVICE,,0.003,3.21,0.3933,quarter,Q3,5378,16.094165,36441.12,11349.9
TABLET,DEVICE,,0.0047,3.23,0.7909,quarter,Q4,1396,6.557809,14518.43,4490.62
TABLET,DEVICE,hot,0.0045,3.43,0.4433,season,hot,5874,26.408251,57717.16,16834.2
TABLET,DEVICE,non_hot,0.0031,2.66,0.8625,season,non_hot,5320,16.26043,36290.28,13659.06
FEMALE,GENDER,,0.0074,4.3,1.1771,all,all,59934,441.953293,987917.9,229912.07
FEMALE,GENDER,,0.0021,2.79,0.9276,quarter,Q1,20840,42.801468,94603.82,33927.54
FEMALE,GENDER,,0.0124,4.93,1.0944,quarter,Q2,12427,153.576316,341448.06,69309.39
FEMALE,GENDER,,0.0101,4.5,1.3318,quarter,Q3,20178,204.454293,464461.97,103228.42
FEMALE,GENDER,,0.0063,3.73,1.067,quarter,Q4,6489,41.121216000000004,87404.05,23446.73
FEMALE,GENDER,hot,0.0122,5.07,1.1983,season,hot,25817,313.705626,705396.45,139190.84
FEMALE,GENDER,non_hot,0.0038,3.11,1.0608,season,non_hot,34117,128.247667,282521.45,90721.22
MALE,GENDER,,0.0072,3.72,1.1506,all,all,52341,377.296949,873487.4,234737.61
MALE,GENDER,,0.0028,2.67,1.2754,quarter,Q1,15308,43.227371,105466.64,39546.38
MALE,GENDER,,0.0108,4.57,0.9575,quarter,Q2,12840,138.83247,324169.35,70895.27
MALE,GENDER,,0.0088,3.78,1.1508,quarter,Q3,17241,150.954903,351179.63,92801.29
MALE,GENDER,,0.0064,2.94,1.0725,quarter,Q4,6952,44.282205,92671.78,31494.68
MALE,GENDER,hot,0.0104,4.42,1.0224,season,hot,24535,254.36133,593127.25,134129.32
MALE,GENDER,non_hot,0.0044,2.79,1.2477,season,non_hot,27806,122.935619,280360.15,100608.3
UNDETERMINED,GENDER,,0.005,4.93,0.7937,all,all,55022,273.578402,620059.52,125801.24
UNDETERMINED,GENDER,,0.001,3.67,0.4437,quarter,Q1,28517,28.015029,72260.48,19685.12
UNDETERMINED,GENDER,,0.0128,6.6,1.1325,quarter,Q2,7809,99.869293,229773.77,34798.32
UNDETERMINED,GENDER,,0.0097,5.08,1.2698,quarter,Q3,13005,125.635126,278845.51,54888.86
UNDETERMINED,GENDER,,0.0035,2.38,0.5935,quarter,Q4,5691,20.058954,39179.76,16428.93
UNDETERMINED,GENDER,hot,0.0124,6.2,1.2239,season,hot,16170,200.69228999999999,453713.85,73176.54
UNDETERMINED,GENDER,non_hot,0.0019,3.16,0.5294,season,non_hot,38852,72.886112,166345.66,52624.7
